student_id,student_no,item_id,paper,paper_item_no,source_true,item_type,score,correct,response_missing,form,order_group,block_position,training_year,training_setting_code,training_setting,total_time_seconds
S015,15,M001,M,1,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M006,M,6,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M023,M,23,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,1159.0
S015,15,M024,M,24,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,1159.0
S016,16,M001,M,1,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M006,M,6,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,2200.0
S016,16,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M023,M,23,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M024,M,24,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S017,17,M001,M,1,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,1708.0
S017,17,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,1708.0
S017,17,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,1708.0
S017,17,M007,M,7,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,1708.0
S017,17,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,1708.0
S017,17,M023,M,23,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,1708.0
S017,17,M024,M,24,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,1708.0
S018,18,M001,M,1,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1873.0
S018,18,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1873.0
S018,18,M006,M,6,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1873.0
S018,18,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1873.0
S018,18,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1873.0
S018,18,M023,M,23,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1873.0
S018,18,M024,M,24,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1873.0
S019,19,M001,M,1,MAS,A1,0.0,0,0,A,A,2,3,B,non_main,1798.0
S019,19,M002,M,2,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,1798.0
S019,19,M006,M,6,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,1798.0
S019,19,M007,M,7,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,1798.0
S019,19,M017,M,17,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,1798.0
S019,19,M023,M,23,MAS,A1,0.0,0,0,A,A,2,3,B,non_main,1798.0
S019,19,M024,M,24,MAS,A1,0.0,0,0,A,A,2,3,B,non_main,1798.0
S020,20,M001,M,1,MAS,A1,0.0,0,0,A,A,2,3,B,non_main,2427.0
S020,20,M002,M,2,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2427.0
S020,20,M006,M,6,MAS,A1,0.0,0,0,A,A,2,3,B,non_main,2427.0
S020,20,M007,M,7,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2427.0
S020,20,M017,M,17,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2427.0
S020,20,M023,M,23,MAS,A1,2.0,1,0,A,A,2,3,B,non_main,2427.0
S020,20,M024,M,24,MAS,A1,0.0,0,0,A,A,2,3,B,non_main,2427.0
S021,21,M001,M,1,MAS,A1,2.0,1,0,A,A,2,3,A,main,4606.0
S021,21,M002,M,2,MAS,A1,2.0,1,0,A,A,2,3,A,main,4606.0
S021,21,M006,M,6,MAS,A1,0.0,0,0,A,A,2,3,A,main,4606.0
S021,21,M007,M,7,MAS,A1,0.0,0,0,A,A,2,3,A,main,4606.0
S021,21,M017,M,17,MAS,A1,2.0,1,0,A,A,2,3,A,main,4606.0
S021,21,M023,M,23,MAS,A1,0.0,0,0,A,A,2,3,A,main,4606.0
S021,21,M024,M,24,MAS,A1,0.0,0,0,A,A,2,3,A,main,4606.0
S022,22,M001,M,1,MAS,A1,0.0,0,0,A,A,2,2,A,main,1118.0
S022,22,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,A,main,1118.0
S022,22,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,A,main,1118.0
S022,22,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,A,main,1118.0
S022,22,M017,M,17,MAS,A1,0.0,0,0,A,A,2,2,A,main,1118.0
S022,22,M023,M,23,MAS,A1,0.0,0,0,A,A,2,2,A,main,1118.0
