source,bootstrap_replicate,icc_3_1,icc_3_k
Human,491,0.8291970719981375,0.9510255309686111
Human,492,0.8563934200512118,0.9597648284812024
Human,493,0.8687470328716071,0.963603940075219
Human,494,0.8203411061582122,0.9480908167007184
Human,495,0.8257430653765182,0.9498862672562842
Human,496,0.8567892542657597,0.9598890771907377
Human,497,0.8632762155959115,0.9619135624965185
Human,498,0.8705992388231893,0.9641727551388741
Human,499,0.8345423192612708,0.95277531462899
Human,500,0.8718387900842839,0.9645524465135382
Human,501,0.8491493259541079,0.9574762829540366
Human,502,0.8792808132626801,0.966815718730151
Human,503,0.8764245288939914,0.9659503566885994
Human,504,0.8694837233386803,0.963830388576177
Human,505,0.859147761652838,0.9606276809643971
Human,506,0.8944151467639275,0.9713337449410626
Human,507,0.8769741385961125,0.9661171880542162
Human,508,0.8664262950113825,0.9628887593167568
Human,509,0.8392346996021187,0.9542982309249851
Human,510,0.8866558666994473,0.9690313834205782
Human,511,0.8568171825159306,0.9598978404895571
Human,512,0.8815920969800864,0.9675129847298893
Human,513,0.8542083790735256,0.9590774736855375
Human,514,0.8308263589744876,0.9515605856758523
Human,515,0.8561587777635732,0.9596911373925853
Human,516,0.8948310316962722,0.9714563263956415
Human,517,0.885892591972136,0.9688033186577583
Human,518,0.8779527963933362,0.966413880086779
Human,519,0.8258251674668345,0.9499134264460145
Human,520,0.9062520219167973,0.9747905007949788
Human,521,0.8331337420015295,0.9523157685496416
Human,522,0.8773968618401877,0.9662454005996932
Human,523,0.8545503870687827,0.9591852270742515
Human,524,0.8786123457669098,0.9666135602372297
Human,525,0.8318838822696689,0.9519070734969273
Human,526,0.8663066750987922,0.9628518211125856
Human,527,0.879384774902453,0.9668471388697211
Human,528,0.8563902446586681,0.9597638314204844
Human,529,0.8370160903269636,0.9535797012475983
Human,530,0.8340400887333832,0.9526115899364342
Human,531,0.8854629968080521,0.9686748309624843
Human,532,0.9062273215039786,0.9747833562023019
Human,533,0.8568194817227949,0.9598985619140982
Human,534,0.8565647626330355,0.9598186214844238
Human,535,0.8200721643777737,0.948000988961446
Human,536,0.8359712976360876,0.9532403852057146
Human,537,0.815012064704685,0.9463030502810472
Human,538,0.8565907162981259,0.9598267682865165
Human,539,0.897114498835869,0.9721278983488068
Human,540,0.8299337224046234,0.9512676311782108
Human,541,0.8498583870935489,0.95770152593352
Human,542,0.863742403366802,0.9620582077764475
Human,543,0.8649896382359707,0.9624446372229623
Human,544,0.8689139148989862,0.9636552616239431
Human,545,0.8019205978019264,0.9418399130022558
Human,546,0.8511840212080681,0.9581219084095374
Human,547,0.8725794435435859,0.964778946178178
Human,548,0.8812725283918272,0.9674167356535069
Human,549,0.8285279782439796,0.9508053672019212
Human,550,0.8496868041220976,0.9576470450167167
Human,551,0.829724000663508,0.9511987373395889
Human,552,0.8006515302225669,0.9414017840437114
Human,553,0.8425822139638995,0.9553772416174174
Human,554,0.8297552121922251,0.9512089919371108
Human,555,0.855354871625827,0.9594384443370098
Human,556,0.8431935038038426,0.9555736168393993
Human,557,0.8380971749857237,0.9539301666169401
Human,558,0.9004347751319385,0.9730999625767293
Human,559,0.8362010312299997,0.953315047500077
Human,560,0.8082830349829786,0.9440217775609475
Human,561,0.8194150351590408,0.9477813285834046
Human,562,0.8812024532986177,0.967395623356964
Human,563,0.8482820843581842,0.9572004242750369
Human,564,0.8545238433948623,0.9591768664181684
Human,565,0.8492685377208947,0.9575141710921597
Human,566,0.8652800010833662,0.9625344846281072
Human,567,0.8777523141941947,0.9663531405189005
Human,568,0.86680865922598,0.9630067826418915
Human,569,0.8713474071583615,0.9644020227331134
Human,570,0.8631297731542246,0.9618681021577608
Human,571,0.8792613240172124,0.9668098279308506
Human,572,0.8444068453309909,0.9559627956749432
Human,573,0.8507965779316203,0.9579991405084396
Human,574,0.8600794325553762,0.9609186440087425
Human,575,0.8748478716425043,0.9654709277487895
Human,576,0.8687144321961394,0.9635939126634089
Human,577,0.8713642604378727,0.9644071839474547
Human,578,0.8597040533889784,0.9608014668630899
Human,579,0.8748479715091536,0.9654709581558035
Human,580,0.8341071915024818,0.9526334732638453
Human,581,0.8361048269895054,0.9532837851624837
Human,582,0.8997818807503348,0.9729092307285232
Human,583,0.8631697034968313,0.9618804988951619
Human,584,0.820064802426174,0.9479985294481339
Human,585,0.8872641917075824,0.9692129453048994
Human,586,0.8584294265766464,0.9604030326097096
Human,587,0.8545117470931067,0.9591730562331516
Human,588,0.8633560311730407,0.9619383350768103
Human,589,0.8254561774293279,0.9497913351390869
Human,590,0.8994226329061533,0.972804196491904
Human,591,0.8685504934604358,0.9635434796583104
Human,592,0.8611875292373241,0.9612641143094127
Human,593,0.8543846900122788,0.9591330301397224
Human,594,0.8300945458623421,0.9513204450469473
Human,595,0.8439982699579942,0.9558318348583384
Human,596,0.895852760271108,0.9717571271291416
Human,597,0.8802143761753759,0.9670976748898983
Human,598,0.8608609723952685,0.9611623706077324
Human,599,0.865014257227669,0.962452256803293
Human,600,0.8550624503224729,0.9593464423017775
Human,601,0.8761163205926437,0.9658567351948827
Human,602,0.8808148993961293,0.967278816707046
Human,603,0.8011667405444838,0.9415797718502602
Human,604,0.8266526337643916,0.9501869358329905
Human,605,0.8676214614486379,0.9632574184233708
