source,bootstrap_replicate,icc_2_1,icc_2_k,icc_c_1,icc_c_k
Human,84,0.11039439841613492,0.27128623403799773,0.14957285127672423,0.34539509536784374
Human,85,0.1617864562776219,0.3667039150082391,0.2178027040677765,0.45514464385580894
Human,86,0.19914002217481908,0.4272535168749595,0.2857292827494822,0.5454727646454205
Human,87,0.11243031573230884,0.27537087774109736,0.17091473128196114,0.38212321919519426
Human,88,0.3217910842629733,0.5873592883127462,0.5441889251785843,0.781739173903104
Human,89,0.36678568991789406,0.6347342154771344,0.5716716411561525,0.8001587695360897
Human,90,0.37622984182234,0.6440601949367684,0.49952481225424816,0.7496434397576284
Human,91,0.12650277028766257,0.30287839803863453,0.19777997690912053,0.42516262314921566
Human,92,0.2206434729829878,0.4592634525703875,0.438236776316427,0.7006282220735961
Human,93,0.12052143692655108,0.29133909746171294,0.1663990590168214,0.37454823074552346
Human,94,0.2140081064659051,0.4495917578411785,0.29892049659226266,0.5612332476146619
Human,95,0.26654944145634885,0.5215895290783944,0.5215091066782179,0.7657921548649933
Human,96,0.1598978334097187,0.3634604297384645,0.30662240918825384,0.5701969205706
Human,97,0.11740858972601315,0.2852452776323912,0.15845386185269822,0.3609680291194322
Human,98,0.20980032796373027,0.4433648161989524,0.2941468705753745,0.5555903098168595
Human,99,0.12998881948191326,0.3095026819415924,0.16717308376716997,0.3758539301898232
Human,100,0.17482911460002076,0.3886075248182884,0.23074740846594063,0.4736535616671206
Human,101,0.31943371841951534,0.5847337824387259,0.5809125954800012,0.8061418627775845
Human,102,0.3138348981200987,0.5784371600032793,0.5168457204490198,0.7624249825540749
Human,103,0.24185414874835576,0.4890196054502252,0.4473058504403603,0.7082810428634444
Human,104,0.2617334812232594,0.5154036569384041,0.37353173013554886,0.6414164201183397
Human,105,0.08208324141480958,0.2115244923096351,0.1132587575780628,0.27702521043161593
Human,106,0.15436251530892262,0.353846327603397,0.2229769711758399,0.4626225593600717
Human,107,0.21054178635847298,0.4444674269704103,0.2937639150767489,0.5551346744863268
Human,108,0.25466014254840447,0.5061751539344157,0.5076239376081737,0.7556746897257157
Human,109,0.0816803508456836,0.21063205262202397,0.11487955652497225,0.2802489251087338
Human,110,0.16628092084418325,0.37434867705690267,0.24837674517929037,0.4978309657119012
Human,111,0.21252401046193986,0.44740389237723527,0.29097711371679086,0.5518056881876645
Human,112,0.10339523145020241,0.25703359770105055,0.14069861458802674,0.32940280668118077
Human,113,0.12283573460897473,0.2958301710629034,0.18758525658336414,0.4092261754901829
Human,114,0.15030381970616913,0.34669291910529265,0.2108165561028113,0.4448754484391592
Human,115,0.3917260393442142,0.6589345080114978,0.5310323457202035,0.7725737430903731
Human,116,0.10666875626026223,0.26374052188992514,0.14922502049453534,0.3447765007135721
Human,117,0.17114469603409063,0.3825062547139553,0.2389854773582444,0.48509507564190474
Human,118,0.2959568217832329,0.5577378326631749,0.5311580336522536,0.7726624091327896
Human,119,0.131628195864151,0.31259259021218855,0.19807148398604543,0.4256114635747066
Human,120,0.1593819294637038,0.3625711951038774,0.23007244802484317,0.4727046924876163
Human,121,0.29988421113808017,0.562364290285346,0.5790559555256102,0.8049479999999875
Human,122,0.08713149152709221,0.22260301001859564,0.12436982085239162,0.2987888348349418
Human,123,0.1124178025519303,0.2753458555992853,0.16866544921153717,0.37836286309638223
Human,124,0.23650568880234968,0.48167792672505516,0.3589680442991593,0.6268592528236221
Human,125,0.14993827857585046,0.3460442710907788,0.20015907094251958,0.4288148491879324
Human,126,0.3608883605818991,0.6288068995461229,0.5706251606034917,0.7994747110396333
Human,127,0.10638651328563847,0.2631651041574,0.13774253199774172,0.32397682078595347
Human,128,0.10575071789278953,0.2618669233954737,0.14413991419987976,0.33565668969355106
Human,129,0.17098222745535493,0.38223566987114765,0.23169450936264516,0.47498205821812145
Human,130,0.13884490680237843,0.3260061369918591,0.18078392106787794,0.39832885767403303
Human,131,0.18194499381432758,0.4002045519756368,0.24094341199743352,0.4877769504986194
Human,132,0.2702462625918961,0.5262854408715557,0.49549518331137016,0.7466060985797702
Human,133,0.119014944506291,0.2883975877219265,0.16627924294954674,0.37434584232306195
Human,134,0.11693683087001093,0.28431637977855534,0.14714657370977316,0.3410662584511285
Human,135,0.14722233388270176,0.34120191665708965,0.22227785566459404,0.46161844902485927
Human,136,0.1385105052763187,0.3253912914472196,0.18189960813584327,0.40013135210573364
Human,137,0.13229505071935208,0.3138448986011564,0.20934723451689857,0.4426898936022666
Human,138,0.2250080117631513,0.465528673019667,0.531073069265067,0.7726024737174171
Human,139,0.13884723455675593,0.3260104146488731,0.20138279291589747,0.43068377557142007
Human,140,0.14029864505571987,0.32867158037678856,0.2005420622323351,0.429400473670256
Human,141,0.239565449179967,0.4858909703913252,0.39066564442374535,0.6579331652729853
Human,142,0.14373362607167073,0.3349218222810408,0.1870040719456322,0.40830341387066316
Human,143,0.11538875470166111,0.2812581977329143,0.1534488443463725,0.3522437425836982
Human,144,0.11831664041370504,0.28702924847989236,0.19652257925747252,0.42322227256503725
Human,145,0.06210314645929401,0.16572531265075746,0.08512414652835641,0.21822073238665543
Human,146,0.34121712919654823,0.6084347025644501,0.5522499789721549,0.7872416108455471
Human,147,0.25880426964606207,0.5116028203823481,0.46075227426272114,0.719361723004457
Human,148,0.2372841683116538,0.4827531469752499,0.4794727880431255,0.7342819431477886
Human,149,0.3339285635551533,0.6006423897957808,0.5174885379869121,0.7628909594560492
Human,150,0.12172993363525153,0.2936884498792681,0.1734969838463696,0.3864092668734484
Human,151,0.3284219965365586,0.5946643098136251,0.5084278427651617,0.7562680558844341
Human,152,0.21988169909440297,0.45816215227656815,0.5375357770957445,0.777133361030316
Human,153,0.238905013306231,0.4849845562095668,0.5314793171497967,0.7728889590608425
Human,154,0.12515720905356853,0.30030176547842713,0.18209948781858953,0.40045365317812814
Human,155,0.0929537986833255,0.23514597315102617,0.14669486768690507,0.34025676176680325
Human,156,0.15206614787675213,0.34980994268428345,0.2132313916495533,0.4484478546781168
Human,157,0.07338926611793306,0.19198807107466476,0.10114638409342694,0.2523837457143566
Human,158,0.11645957109851857,0.28337520388642023,0.16954335058991904,0.3798335472390362
Human,159,0.13294694420208536,0.315066559890773,0.16649669597793776,0.37471310131621965
Human,160,0.16352220493908856,0.3696685741378465,0.35685339690105855,0.6247044095145217
Human,161,0.1749288074265751,0.3887716871062851,0.22488912079311066,0.4653590066582663
Human,162,0.31400771319507104,0.5786328091951778,0.45272019347379877,0.7127804100956887
Human,163,0.09008288316133138,0.22899211042705922,0.1386695586769029,0.32568381440672645
Human,164,0.12670091959289212,0.30325690205273104,0.1841742224590179,0.4037879894036419
Human,165,0.22982592334311258,0.4723576869337882,0.32622639395087044,0.5922584832788615
Human,166,0.16417550333529315,0.3707803942877725,0.22719059510114673,0.46863352599371744
Human,167,0.2528352732883457,0.5037661270518866,0.4504639746634892,0.7109117020815684
Human,168,0.12936274330632055,0.3083184014676201,0.18531968238127589,0.4056202247190978
Human,169,0.22104889773185724,0.45984862835348367,0.35080136396870126,0.6184781410063765
Human,170,0.12071655016355162,0.291719022471072,0.16331854400236234,0.3693215246559895
Human,171,0.17599845237111547,0.39053000436714236,0.22367689805744176,0.4636258915916522
Human,172,0.14339226114204257,0.33430366621332197,0.19949699789517322,0.42780097376144116
Human,173,0.07330259939830629,0.19179033762075814,0.100964892232168,0.2520069646426934
Human,174,0.1151718677478357,0.2808285142398099,0.15853759367412892,0.361112854900839
Human,175,0.28383484557314814,0.5431657839202182,0.5508962716985754,0.7863234743541657
Human,176,0.1275138615607422,0.30480727846455496,0.16677442319985875,0.375181809762977
Human,177,0.3600733227771336,0.6279813242221167,0.5178885600414372,0.7631806374074307
Human,178,0.17725238806883142,0.39258419281679224,0.25451927239871,0.5059896049896017
Human,179,0.12576665259157524,0.3014701696008891,0.1782586902771365,0.39422721632427593
