endpoint,bootstrap_replicate,icc_c_k
QGEval,128,0.731389547855448
QGEval,129,0.7259819328746948
QGEval,130,0.7028192343157672
QGEval,131,0.6450302788555684
QGEval,132,0.46539705978154594
QGEval,133,0.39529334320743803
QGEval,134,0.7119624515595012
QGEval,135,0.4627073273147171
QGEval,136,0.7584155235474047
QGEval,137,0.7847053093034577
QGEval,138,0.12920453077220997
QGEval,139,0.6568110503671586
QGEval,140,0.629678502879079
QGEval,141,0.75812439491077
QGEval,142,0.47075816909546003
QGEval,143,0.7216259145167497
QGEval,144,0.7455225875434369
QGEval,145,0.47506362568519706
QGEval,146,0.6810372907713477
QGEval,147,0.221319502375681
QGEval,148,0.7272227889821857
QGEval,149,0.49231137437922423
QGEval,150,0.7419703764527535
QGEval,151,0.7789346795037135
QGEval,152,0.7251487629188847
QGEval,153,0.6352711342647397
QGEval,154,0.7191250464492673
QGEval,155,0.75136549026467
QGEval,156,0.4596897253306173
QGEval,157,0.7427472999974704
QGEval,158,0.7033947985504153
QGEval,159,0.6976592606145146
QGEval,160,0.5694478678826714
QGEval,161,0.7149879707596928
QGEval,162,0.25199751604222437
QGEval,163,0.6431993089367043
QGEval,164,0.7117398723191424
QGEval,165,0.6462383691892188
QGEval,166,0.7495764990588866
QGEval,167,0.816403315075564
QGEval,168,0.1265682982859138
QGEval,169,0.591645616413036
QGEval,170,0.7169518746192611
QGEval,171,0.6588399598481205
QGEval,172,0.7293266838313244
QGEval,173,0.719088160407383
QGEval,174,0.6909184431616838
QGEval,175,0.734713610802466
QGEval,176,0.5306713654282631
QGEval,177,0.5234468594899866
QGEval,178,0.5461871750433271
QGEval,179,0.6880499465947808
QGEval,180,0.6641901231465188
QGEval,181,0.7144233031408066
QGEval,182,0.6069753001241887
QGEval,183,0.6942534932830107
QGEval,184,0.7269312633028667
QGEval,185,0.7265241872010646
QGEval,186,0.5191981398856269
QGEval,187,0.42061288063557856
QGEval,188,0.7142734969639952
QGEval,189,0.7616010717341376
QGEval,190,0.6669201752251148
QGEval,191,0.6887252839713915
QGEval,192,0.7244569532667875
QGEval,193,0.5253248727106912
QGEval,194,0.7102875645176796
QGEval,195,0.6401178301467316
QGEval,196,0.6434441896024455
QGEval,197,0.6421796767934432
QGEval,198,0.650215437969628
QGEval,199,0.6803330568772096
QGEval,200,0.5166541916167655
QGEval,201,0.6511917744196907
QGEval,202,0.4668335089567955
QGEval,203,0.6890704863342815
QGEval,204,0.6924802983165492
QGEval,205,0.7066615938018809
QGEval,206,0.6965698420754088
QGEval,207,0.49421611760918466
QGEval,208,0.6308114171756195
QGEval,209,0.7390400819858797
QGEval,210,0.6242167210693105
QGEval,211,0.3568731117824753
QGEval,212,0.7580705071925435
QGEval,213,0.698699157200439
QGEval,214,0.7182847879295179
QGEval,215,0.4514544672017012
QGEval,216,0.49249302059747974
QGEval,217,0.7764036404519782
QGEval,218,0.6303266522394307
QGEval,219,0.7580746375348549
QGEval,220,0.692292569673934
QGEval,221,0.659168742216687
QGEval,222,0.7050956882637763
QGEval,223,0.7691955820833849
QGEval,224,0.7694245285998546
QGEval,225,0.2544936052540606
QGEval,226,0.6771891048560098
QGEval,227,0.7831920903954802
QGEval,228,0.7509724062121248
QGEval,229,0.7439547247470412
QGEval,230,0.5670056930851393
QGEval,231,0.7588559153246449
QGEval,232,0.7332127145874048
QGEval,233,0.6726385159873072
QGEval,234,0.6531316373701351
QGEval,235,0.7240623738153482
QGEval,236,0.5434179534153349
QGEval,237,0.6695795691452399
QGEval,238,0.721426328123112
QGEval,239,0.5973959987297546
QGEval,240,0.6344437244607831
QGEval,241,0.6833248035644391
QGEval,242,0.7112098468928245
QGEval,243,0.7219303097345128
QGEval,244,0.7066234614175508
QGEval,245,0.7060016795541543
QGEval,246,0.6995169178960865
QGEval,247,0.7329595220805663
QGEval,248,0.767921498397851
QGEval,249,0.723753776435045
QGEval,250,0.7453872437357627
QGEval,251,0.4687307297019518
QGEval,252,0.7618163806068124
QGEval,253,0.7167904903417528
QGEval,254,0.7419938822648103
QGEval,255,0.7331507393401782
QGEval,256,0.5989889533795164
QGEval,257,0.5710987069311693
QGEval,258,0.7403638257168406
QGEval,259,0.7041172649017378
QGEval,260,0.6060748211563263
QGEval,261,0.5128194734388599
QGEval,262,0.6508941532569411
QGEval,263,0.7618299737864952
QGEval,264,0.36763736146859116
QGEval,265,0.7903971361449822
QGEval,266,0.7188432732971586
QGEval,267,0.6776096911816503
QGEval,268,0.7662529928901717
QGEval,269,0.36329024009092004
QGEval,270,0.45299686702847025
QGEval,271,0.5258895705521467
QGEval,272,0.6793343369817304
QGEval,273,0.6431571734985698
QGEval,274,0.5882650993109035
QGEval,275,0.5880889806645384
QGEval,276,0.8034072247589061
QGEval,277,0.7207988468334414
QGEval,278,0.6817481285777189
QGEval,279,0.7262088081305815
QGEval,280,0.6717063639746925
QGEval,281,0.7280315190427544
QGEval,282,0.566543380140422
QGEval,283,0.6780222476689012
QGEval,284,0.24407601169410315
QGEval,285,0.6424871032613447
QGEval,286,0.6364598364598355
QGEval,287,0.6588920254057861
QGEval,288,0.7298311677050943
QGEval,289,0.7408199300909294
QGEval,290,0.7555466610874092
QGEval,291,0.688660761424297
QGEval,292,0.6848817634564023
QGEval,293,0.5640314136125648
QGEval,294,0.74345308403676
QGEval,295,0.23436774493112364
QGEval,296,0.49846926279696185
QGEval,297,0.3462511218079439
QGEval,298,0.752385642689533
QGEval,299,0.36600866634569
QGEval,300,0.3390943657103322
QGEval,301,0.759521227393065
QGEval,302,0.747827636146295
QGEval,303,0.4896443217869007
QGEval,304,0.7024838057858452
QGEval,305,0.7445229223069161
QGEval,306,0.7550804988778318
QGEval,307,0.709006055891994
QGEval,308,0.6891577219905963
QGEval,309,0.6652640545144808
QGEval,310,0.618070851688693
QGEval,311,0.4822935779816504
QGEval,312,0.6998173948329494
QGEval,313,0.29525179856114875
QGEval,314,0.42680535708351297
QGEval,315,0.5275844155844147
QGEval,316,0.6689392214887316
QGEval,317,0.7389877759418633
QGEval,318,0.7210767745050692
QGEval,319,0.7232116894446055
QGEval,320,0.6002393617021274
QGEval,321,0.6618007349938745
QGEval,322,0.764932930036822
QGEval,323,0.7032856965841969
QGEval,324,0.6444097121256176
QGEval,325,0.4069561982702487
QGEval,326,0.7175227490421451
QGEval,327,0.5313507629746765
QGEval,328,0.6846473029045638
QGEval,329,0.5473058170813714
QGEval,330,0.7377235361984422
QGEval,331,0.3080750183418922
QGEval,332,0.40244447756744484
QGEval,333,0.7202309868007539
QGEval,334,0.5945003107169079
QGEval,335,0.5258829900318889
QGEval,336,0.768373154747957
QGEval,337,0.7798314259656962
QGEval,338,0.7048772199403086
QGEval,339,0.677626293653419
QGEval,340,0.702369959987688
QGEval,341,0.7284184760267569
QGEval,342,0.49391461970997325
QGEval,343,0.6117158972073158
QGEval,344,0.8101031195667374
QGEval,345,0.7690362968759401
QGEval,346,0.41189756640687236
QGEval,347,0.7378756109604325
QGEval,348,0.7006397924030235
QGEval,349,0.6955729050154353
QGEval,350,0.7468685667894109
QGEval,351,0.5449274028394568
QGEval,352,0.5439575620268553
