index,student_id,training_setting,source_true,blueprint_cognitive_level,n_items,correct_rate
274,S035,non_main,Human,comprehension,3,1.0
275,S035,non_main,Human,recall,7,1.0
276,S035,non_main,MAS,analysis,22,0.7727272727272727
277,S035,non_main,MAS,application,18,0.8888888888888888
278,S035,non_main,MAS,comprehension,3,0.6666666666666666
279,S035,non_main,MAS,recall,7,0.8571428571428571
280,S036,non_main,Human,analysis,22,0.6818181818181818
281,S036,non_main,Human,application,18,0.8333333333333334
282,S036,non_main,Human,comprehension,3,0.6666666666666666
283,S036,non_main,Human,recall,7,0.8571428571428571
284,S036,non_main,MAS,analysis,22,0.7272727272727273
285,S036,non_main,MAS,application,18,0.8333333333333334
286,S036,non_main,MAS,comprehension,3,0.3333333333333333
287,S036,non_main,MAS,recall,7,0.8571428571428571
288,S037,non_main,Human,analysis,22,0.6818181818181818
289,S037,non_main,Human,application,18,0.7777777777777778
290,S037,non_main,Human,comprehension,3,1.0
291,S037,non_main,Human,recall,7,1.0
292,S037,non_main,MAS,analysis,22,0.5909090909090909
293,S037,non_main,MAS,application,18,1.0
294,S037,non_main,MAS,comprehension,3,0.6666666666666666
295,S037,non_main,MAS,recall,7,1.0
296,S038,main,Human,analysis,22,0.5909090909090909
297,S038,main,Human,application,18,0.5555555555555556
298,S038,main,Human,comprehension,3,0.6666666666666666
299,S038,main,Human,recall,7,0.42857142857142855
300,S038,main,MAS,analysis,22,0.36363636363636365
301,S038,main,MAS,application,18,0.6111111111111112
302,S038,main,MAS,comprehension,3,1.0
303,S038,main,MAS,recall,7,0.5714285714285714
304,S039,non_main,Human,analysis,22,0.4090909090909091
305,S039,non_main,Human,application,18,0.6111111111111112
306,S039,non_main,Human,comprehension,3,0.3333333333333333
307,S039,non_main,Human,recall,7,0.42857142857142855
308,S039,non_main,MAS,analysis,22,0.5
309,S039,non_main,MAS,application,18,0.5
310,S039,non_main,MAS,comprehension,3,0.3333333333333333
311,S039,non_main,MAS,recall,7,0.42857142857142855
312,S040,main,Human,analysis,22,0.4090909090909091
313,S040,main,Human,application,18,0.7222222222222222
314,S040,main,Human,comprehension,3,1.0
315,S040,main,Human,recall,7,0.5714285714285714
316,S040,main,MAS,analysis,22,0.6363636363636364
317,S040,main,MAS,application,18,0.6111111111111112
318,S040,main,MAS,comprehension,3,0.6666666666666666
319,S040,main,MAS,recall,7,0.2857142857142857
320,S041,main,Human,analysis,22,0.5909090909090909
321,S041,main,Human,application,18,0.6666666666666666
322,S041,main,Human,comprehension,3,1.0
323,S041,main,Human,recall,7,0.7142857142857143
324,S041,main,MAS,analysis,22,0.3181818181818182
325,S041,main,MAS,application,18,0.6666666666666666
326,S041,main,MAS,comprehension,3,0.0
327,S041,main,MAS,recall,7,0.5714285714285714
328,S042,main,Human,analysis,22,0.5454545454545454
329,S042,main,Human,application,18,0.6666666666666666
330,S042,main,Human,comprehension,3,0.3333333333333333
331,S042,main,Human,recall,7,0.5714285714285714
332,S042,main,MAS,analysis,22,0.45454545454545453
333,S042,main,MAS,application,18,0.5
334,S042,main,MAS,comprehension,3,0.6666666666666666
335,S042,main,MAS,recall,7,0.5714285714285714
336,S043,main,Human,analysis,22,0.18181818181818182
337,S043,main,Human,application,18,0.2777777777777778
338,S043,main,Human,comprehension,3,0.0
339,S043,main,Human,recall,7,0.2857142857142857
340,S043,main,MAS,analysis,22,0.18181818181818182
341,S043,main,MAS,application,18,0.7222222222222222
342,S043,main,MAS,comprehension,3,0.3333333333333333
343,S043,main,MAS,recall,7,0.7142857142857143
344,S044,main,Human,analysis,22,0.5909090909090909
345,S044,main,Human,application,18,0.7222222222222222
346,S044,main,Human,comprehension,3,1.0
347,S044,main,Human,recall,7,0.42857142857142855
348,S044,main,MAS,analysis,22,0.36363636363636365
349,S044,main,MAS,application,18,0.7777777777777778
350,S044,main,MAS,comprehension,3,0.6666666666666666
351,S044,main,MAS,recall,7,1.0
352,S045,main,Human,analysis,22,0.45454545454545453
353,S045,main,Human,application,18,0.6666666666666666
354,S045,main,Human,comprehension,3,0.3333333333333333
355,S045,main,Human,recall,7,0.7142857142857143
356,S045,main,MAS,analysis,22,0.45454545454545453
357,S045,main,MAS,application,18,0.5555555555555556
358,S045,main,MAS,comprehension,3,0.6666666666666666
359,S045,main,MAS,recall,7,0.7142857142857143
360,S046,main,Human,analysis,22,0.5
361,S046,main,Human,application,18,0.6666666666666666
362,S046,main,Human,comprehension,3,0.3333333333333333
363,S046,main,Human,recall,7,0.8571428571428571
364,S046,main,MAS,analysis,22,0.4090909090909091
365,S046,main,MAS,application,18,0.5
366,S046,main,MAS,comprehension,3,0.6666666666666666
367,S046,main,MAS,recall,7,0.7142857142857143
368,S047,main,Human,analysis,22,0.6818181818181818
369,S047,main,Human,application,18,0.8888888888888888
370,S047,main,Human,comprehension,3,1.0
371,S047,main,Human,recall,7,1.0
372,S047,main,MAS,analysis,22,0.5909090909090909
373,S047,main,MAS,application,18,0.7777777777777778
374,S047,main,MAS,comprehension,3,0.3333333333333333
375,S047,main,MAS,recall,7,0.7142857142857143
376,S048,main,Human,analysis,22,0.8181818181818182
377,S048,main,Human,application,18,0.7777777777777778
378,S048,main,Human,comprehension,3,1.0
379,S048,main,Human,recall,7,0.8571428571428571
380,S048,main,MAS,analysis,22,0.6363636363636364
381,S048,main,MAS,application,18,0.6666666666666666
382,S048,main,MAS,comprehension,3,0.6666666666666666
383,S048,main,MAS,recall,7,0.8571428571428571
384,S049,main,Human,analysis,22,0.5
385,S049,main,Human,application,18,0.5555555555555556
386,S049,main,Human,comprehension,3,0.3333333333333333
387,S049,main,Human,recall,7,0.7142857142857143
388,S049,main,MAS,analysis,22,0.36363636363636365
389,S049,main,MAS,application,18,0.6111111111111112
390,S049,main,MAS,comprehension,3,0.0
391,S049,main,MAS,recall,7,0.8571428571428571
392,S050,main,Human,analysis,22,0.5
393,S050,main,Human,application,18,0.6111111111111112
394,S050,main,Human,comprehension,3,0.6666666666666666
395,S050,main,Human,recall,7,0.42857142857142855
396,S050,main,MAS,analysis,22,0.36363636363636365
397,S050,main,MAS,application,18,0.7777777777777778
398,S050,main,MAS,comprehension,3,0.6666666666666666
399,S050,main,MAS,recall,7,0.5714285714285714
